USP39	DDX17
USP39	TRIM25
USP39	EFTUD2
USP39	TCERG1
USP39	PABPC1
USP39	SNW1
USP39	SF3B1
USP39	SYF2
USP39	TRA2B
USP39	SPEN
USP39	ALYREF
USP39	CTNNBL1
USP39	PRPF40A
USP39	SRRM1
USP39	SRSF9
USP39	DDX41
USP39	ISY1
USP39	BUD31
USP39	RBM22
USP39	DHX8
USP39	SART1
USP39	NUDT21
USP39	PAXBP1
USP39	THOC5
USP39	THOC6
USP39	SF3B2
USP39	TRIR
USP39	RNPS1
USP39	SNRPC
USP39	TXNL4A
USP39	CD2BP2
USP39	LSM4
USP39	LSM8
USP39	SF3B4
USP39	SLU7
USP39	RBM17
USP39	CWC15
USP39	ACIN1
USP39	U2SURP
USP39	SRSF6
USP39	DDX46
USP39	SNRNP27
USP39	SMNDC1
USP39	SNRPB2
USP39	CDC40
USP39	ZNF207
USP39	PPIL2
USP39	RPL22L1
DDX17	NCOA3
DDX17	ZNF207
DDX17	DDX41
DDX17	HNRNPA1
DDX17	TCERG1
DDX17	HNRNPUL1
DDX17	HNRNPDL
DDX17	RBM22
DDX17	NCOA1
DDX17	U2SURP
DDX17	SUMO2
DDX17	HDAC3
DDX17	RNPS1
DDX17	CD2BP2
DDX17	SYF2
DDX17	WWP2
DDX17	TRIR
DDX17	HNRNPU
DDX17	HNRNPR
DDX17	SPEN
DDX17	NCOA2
DDX17	EFTUD2
DDX17	THOC6
DDX17	SRA1
DDX17	PAXBP1
DDX17	SART1
DDX17	BUD31
DDX17	SNRNP27
DDX17	CREBBP
DDX17	SF3B2
DDX17	NUDT21
DDX17	CDC40
DDX17	PPIL2
DDX17	HNRNPM
DDX17	SLU7
DDX17	EWSR1
DDX17	SNW1
DDX17	ISY1
DDX17	THOC5
DDX17	HDAC1
DDX17	EP300
DDX17	YWHAG
DDX17	SREK1
DDX17	RC3H1
DDX17	SNRPB2
DDX17	TRA2B
DDX17	GRB2
DDX17	PABPC1
DDX17	SF3B1
DDX17	ACIN1
DDX17	ALYREF
DDX17	RBM17
DDX17	SNRPC
DDX17	DHX8
DDX17	CTNNBL1
DDX17	LSM4
DDX17	SMNDC1
DDX17	RALY
DDX17	CWC15
DDX17	SF3B4
DDX17	DDX46
DDX17	PRPF40A
DDX17	SRSF6
DDX17	SRRM1
DDX17	SRSF9
TRIM25	PIK3R5
TRIM25	TPD52L2
TRIM25	USP15
TRIM25	HNRNPC
TRIM25	FBXW7
TRIM25	TP53
TRIM25	CREBBP
TRIM25	PKM
TRIM25	GAPDH
TRIM25	HNRNPF
TRIM25	EP300
TRIM25	RPS9
TRIM25	XRCC5
TRIM25	HNRNPU
TRIM25	UBE2D1
TRIM25	UBE2L3
TRIM25	PABPC1
TRIM25	UBE2D3
TRIM25	KIF5B
TRIM25	EFTUD2
TRIM25	PSMD1
TRIM25	AMFR
TRIM25	ALYREF
TRIM25	PPIA
TRIM25	TBL1X
TRIM25	SYNCRIP
TRIM25	RPS10
TRIM25	PTPRJ
TRIM25	STK38
TRIM25	UBE2J2
TRIM25	RBCK1
TRIM25	ZFHX3
TRIM25	RNPEP
TRIM25	VPS35L
TRIM25	CCDC22
TRIM25	SMCHD1
TRIM25	UROS
TRIM25	MAVS
TRIM25	RPL4
TRIM25	RPL22
TRIM25	ENO1
TRIM25	EIF2S3
TRIM25	RPL28
TRIM25	RSL1D1
TRIM25	ANKHD1
TRIM25	TNPO3
TRIM25	XPO7
TRIM25	RFFL
TRIM25	PBRM1
TRIM25	UBE2L6
EFTUD2	HNRNPA3
EFTUD2	HNRNPC
EFTUD2	ZNF207
EFTUD2	DDX41
EFTUD2	HNRNPA1
EFTUD2	TCERG1
EFTUD2	HNRNPF
EFTUD2	ARRB2
EFTUD2	LSM8
EFTUD2	RBM22
EFTUD2	RBBP4
EFTUD2	U2SURP
EFTUD2	HNRNPK
EFTUD2	RNPS1
EFTUD2	YWHAB
